Protein,Label
A0A075B7B8,Positive
A0A075B7F0,Positive
A0A0A0MS14,Positive
A0A0B4J1V1,Positive
A0A0B4J1V6,Positive
A0A0B4J1X5,Positive
O00244,Positive
O00292,Positive
O14522,Positive
O14773,Positive
O15394,Positive
O15400,Positive
O43173,Positive
O75153,Positive
O94772,Positive
O95159,Positive
O95633,Positive
O95782,Positive
O95967,Positive
P00742,Positive
P00748,Positive
P01023,Positive
P01033,Positive
P01036;P01037,Positive
P01591,Positive
P01721,Positive
P01817,Positive
P01825,Positive
P01834,Positive
P01857,Positive
P02144,Positive
P02671,Positive
P02741,Positive
P02745,Positive
P02760,Positive
P02775,Positive
P02786,Positive
P02787,Positive
P02818,Positive
P04216,Positive
P04275,Positive
P04844,Positive
P04899,Positive
P05413,Positive
P06396,Positive
P07108,Positive
P07195,Positive
P07307,Positive
P07737,Positive
P07900,Positive
P08294,Positive
P08476,Positive
P08709,Positive
P09622,Positive
P09960,Positive
P0C6S8,Positive
P0CG47;P0CG48;P62979;P62987,Positive
P10599,Positive
P10636,Positive
P10643,Positive
P11362,Positive
P12107,Positive
P12277,Positive
P13598,Positive
P14207,Positive
P14415,Positive
P14543,Positive
P15531,Positive
P16152,Positive
P19367,Positive
P20062,Positive
P20396,Positive
P22897,Positive
P23246,Positive
P23435,Positive
P25311,Positive
P26447,Positive
P31948,Positive
P34096,Positive
P34741,Positive
P34932,Positive
P35247,Positive
P36980,Positive
P38159;Q96E39,Positive
P40926,Positive
P41217,Positive
P41271,Positive
P42785,Positive
P45877,Positive
P48147,Positive
P48668,Positive
P49908,Positive
P52797,Positive
P54803,Positive
P55008,Positive
P58215,Positive
P61224;P62834,Positive
P61769,Positive
P61981,Positive
P62258,Positive
P62910,Positive
P78324,Positive
P78536,Positive
P80108,Positive
Q02487,Positive
Q04917,Positive
Q05707,Positive
Q06418,Positive
Q06481,Positive
Q06830,Positive
Q08AN1,Positive
Q12765,Positive
Q13443,Positive
Q13444,Positive
Q13449,Positive
Q13555,Positive
Q13885;Q9BVA1,Positive
Q14055,Positive
Q14582,Positive
Q14651,Positive
Q14697,Positive
Q15819,Positive
Q16531,Positive
Q16651,Positive
Q16706,Positive
Q4LDE5,Positive
Q53RD9,Positive
Q5VV63,Positive
Q6UXI9,Positive
Q6UXZ4,Positive
Q7KYR7;Q8WVV5,Positive
Q7LFX5,Positive
Q7Z3B1,Positive
Q7Z6M3,Positive
Q7Z7M0,Positive
Q86UV5,Positive
Q86Y82,Positive
Q8IXL6,Positive
Q8IZJ4,Positive
Q8IZP7,Positive
Q8N3G9,Positive
Q8N9W8,Positive
Q8NFZ8,Positive
Q8TEU8,Positive
Q8WUM4,Positive
Q92563,Positive
Q92954,Positive
Q93091,Positive
Q96PD5,Positive
Q96TC7,Positive
Q99442,Positive
Q99519,Positive
Q99542,Positive
Q99784,Positive
Q99969,Positive
Q9BTC0,Positive
Q9BXP8,Positive
Q9BXX0,Positive
Q9H008,Positive
Q9H3S3,Positive
Q9H4D0,Positive
Q9H4F8,Positive
Q9H9S5,Positive
Q9HBW1,Positive
Q9HCK4,Positive
Q9HCU0,Positive
Q9NPC4,Positive
Q9NQ30,Positive
Q9NQ38,Positive
Q9NYQ8,Positive
Q9NZU1,Positive
Q9P0S2,Positive
Q9UBB9,Positive
Q9UBX1,Positive
