R.FileName,R.Condition,group
20250123_Tulum_1to16CSF-DD_Seq35,1to16,G1
20250123_Tulum_1to16CSF-DD_Seq38,1to16,G2
20250123_Tulum_1to2CSF-DD_Seq7,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq4,1to2,G2
20250123_Tulum_1to2CSF-DD_Seq19,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq24,1to2,G2
20250123_Tulum_1to2CSF-DD_Seq29,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq21,1to2,G2
20250123_Tulum_1to2CSF-DD_Seq17,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq28,1to2,G2
20250123_Tulum_1to2CSF-DD_Seq3,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq30,1to2,G2
20250123_Tulum_1to2CSF-DD_Seq9,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq12,1to2,G2
20250123_Tulum_1to2CSF-DD_Seq25,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq13,1to2,G2
20250123_Tulum_1to2CSF-DD_Seq14,1to2,G1
20250123_Tulum_1to2CSF-DD_Seq32,1to2,G2
20250123_Tulum_1to32CSF-DD_Seq37,1to32,G1
20250123_Tulum_1to32CSF-DD_Seq40,1to32,G2
20250123_Tulum_1to4CSF-DD_Seq31,1to4,G1
20250123_Tulum_1to4CSF-DD_Seq34,1to4,G2
20250123_Tulum_1to64CSF-DD_Seq39,1to64,G1
20250123_Tulum_1to8CSF-DD_Seq33,1to8,G1
20250123_Tulum_1to8CSF-DD_Seq36,1to8,G2
20250123_Tulum_NeatCSF-DD_Seq8,neat,G1
20250123_Tulum_NeatCSF-DD_Seq6,neat,G2
20250123_Tulum_NeatCSF-DD_Seq16,neat,G1
20250123_Tulum_NeatCSF-DD_Seq2,neat,G2
20250123_Tulum_NeatCSF-DD_Seq23,neat,G1
20250123_Tulum_NeatCSF-DD_Seq18,neat,G2
20250123_Tulum_NeatCSF-DD_Seq15,neat,G1
20250123_Tulum_NeatCSF-DD_Seq22,neat,G2
20250123_Tulum_NeatCSF-DD_Seq26,neat,G1
20250123_Tulum_NeatCSF-DD_Seq27,neat,G2
20250123_Tulum_NeatCSF-DD_Seq5,neat,G1
20250123_Tulum_NeatCSF-DD_Seq1,neat,G2
20250123_Tulum_NeatCSF-DD_Seq20,neat,G1
20250123_Tulum_NeatCSF-DD_Seq10,neat,G2
20250123_Tulum_NeatCSF-DD_Seq11,neat,G1
