Protein,Label
A0A075B6H7,Negative
A0A075B6H9,Negative
A0A075B6I0,Negative
A0A075B6I1,Negative
A0A075B6I9,Negative
A0A075B6J1,Negative
A0A075B6J2,Negative
A0A075B6J9,Negative
A0A075B6K0,Negative
A0A075B6K2,Negative
A0A075B6K4,Negative
A0A075B6K5,Negative
A0A075B6P5;P01615,Negative
A0A075B6Q5,Negative
A0A075B6R2,Negative
A0A075B6S2,Negative
A0A075B6S5,Negative
A0A075B6S6,Negative
A0A075B6S9;P0DSN7,Negative
A0A075B6W8,Negative
A0A075B7B6,Negative
A0A075B7D0,Negative
A0A075B7F0,Negative
A0A087WSX0,Negative
A0A087WSY4,Negative
A0A087WSY6,Negative
A0A087WSZ0,Negative
A0A087WW87;P01614,Negative
A0A087WYE8,Negative
A0A0A0MRZ9,Negative
A0A0A0MS14,Negative
A0A0A0MS15,Negative
A0A0A0MT36,Negative
A0A0A0MT69,Negative
A0A0A0MT89,Negative
A0A0B4J1U7,Negative
A0A0B4J1V0,Negative
A0A0B4J1V1,Negative
A0A0B4J1V2,Negative
A0A0B4J1V6,Negative
A0A0B4J1X5,Negative
A0A0B4J1X8,Negative
A0A0B4J1Y8,Negative
A0A0B4J1Y9,Negative
A0A0B4J2B5,Negative
A0A0B4J2D9;P0DP09,Negative
A0A0B4J2H0,Negative
A0A0C4DH24,Negative
A0A0C4DH25,Negative
A0A0C4DH29,Negative
A0A0C4DH30,Negative
A0A0C4DH31,Negative
A0A0C4DH32,Negative
A0A0C4DH33,Negative
A0A0C4DH34,Negative
A0A0C4DH35,Negative
A0A0C4DH36,Negative
A0A0C4DH38,Negative
A0A0C4DH39,Negative
A0A0C4DH43,Negative
A0A0C4DH67,Negative
A0A0C4DH73;P01611,Negative
A0A0G2JMI3,Negative
A0A0G2JRQ6,Negative
A0A0G2JS06,Negative
A0A0J9YX35,Negative
A0A0J9YXX1,Negative
A0A0J9YY99,Negative
A0A1W2PNU3,Negative
A0A1W2PQ73,Negative
A0A1W2PR80,Negative
A0A8I5KQE6;P08865,Negative
A0A8V8TPW1,Negative
A0AVI2,Negative
A1L4H1,Negative
A2CJ06,Negative
A2PYH4,Negative
A2RU67,Negative
A4D1P6,Negative
A6BM72,Negative
A6NCE7;Q9GZQ8,Negative
A6NGN9,Negative
A6NGU5;P19440;P36268,Negative
A6NHC0,Negative
A6NHR9,Negative
A6NHZ5,Negative
A6NIR3;Q8TF27;Q9UPQ3,Negative
A6NKQ9;P0DN86,Negative
A6NL88,Negative
A6NLU5,Negative
A7E2V4,Negative
A8MTW9,Negative
A8MVW0,Negative
A8MX76,Negative
A8TX70,Negative
B1AKI9,Negative
B1AL88,Negative
B2RTY4,Negative
B2RUY7,Negative
B8ZZ34,Negative
B9A064,Negative
C9JVW0,Negative
I3L3R5,Negative
O00115,Negative
O00116,Negative
O00142,Negative
O00187,Negative
O00213,Negative
O00214,Negative
O00230,Negative
O00238,Negative
O00264,Negative
O00294;P50607,Negative
O00300,Negative
O00303,Negative
O00339,Negative
O00391,Negative
O00398,Negative
O00451,Negative
O00461,Negative
O00462,Negative
O00468,Negative
O00469,Negative
O00487,Negative
O00499,Negative
O00533,Negative
O00548,Negative
O00560,Negative
O00566,Negative
O00567,Negative
O00571;O15523,Negative
O00584,Negative
O00585,Negative
O00587,Negative
O00592,Negative
O00622,Negative
O00743,Negative
O00754,Negative
O14498,Negative
O14514,Negative
O14522,Negative
O14525,Negative
O14594,Negative
O14617,Negative
O14618,Negative
O14668,Negative
O14672,Negative
O14717,Negative
O14737,Negative
O14744,Negative
O14745,Negative
O14773,Negative
O14776,Negative
O14786,Negative
O14791,Negative
O14793,Negative
O14810,Negative
O14815,Negative
O14817,Negative
O14818,Negative
O14917,Negative
O15031,Negative
O15040,Negative
O15041,Negative
O15042,Negative
O15067,Negative
O15072,Negative
O15118,Negative
O15123,Negative
O15126,Negative
O15143,Negative
O15144,Negative
O15145,Negative
O15197,Negative
O15204,Negative
O15230,Negative
O15232,Negative
O15240,Negative
O15354,Negative
O15394,Negative
O15400,Negative
O15466,Negative
O15467,Negative
O15498,Negative
O15511,Negative
O15540,Negative
O43143,Negative
O43155,Negative
O43157,Negative
O43173,Negative
O43184,Negative
O43189,Negative
O43237,Negative
O43278,Negative
O43286;Q9UBX8,Negative
