Method,Variant,SwapState,TPR_pval,PPV_pval,TPR_FDR,PPV_FDR,preprocess_seconds,model_seconds,Note
MSstats+,V1_log2,post,0.867,0.88,0.678,1,291.3,10.2,
MSstats,V1_log2,post,0.755,0.894,0.274,1,95,1227,
limpa,V1_log2,post,0.67,0.973,0.165,1,10.8,347.9,
MaxLFQ + limma,V1_log2,post,0.849,0.923,0.472,1,4.9,0,
msqrob2,V1_log2,post,0.929,0.785,0.84,0.978,5052.7,1.7,
DEqMS,V1_log2,post,0.783,0.907,0.368,1,9.9,0.1,
prolfqua,V1_log2,post,0.892,0.815,0.774,0.988,38.7,3.2,
MSstats+,v2_median,post,0.891,0.817,0.806,0.977,270.4,9.6,
MSstats,v2_median,post,0.821,0.916,0.627,1,90.3,10,
limpa,v2_median,post,0.825,0.845,0.458,1,9.8,3145.5,
MaxLFQ + limma,v2_median,post,0.915,0.805,0.797,0.988,4.4,0,
msqrob2,v2_median,post,0.929,0.767,0.854,0.984,1453.6,1.8,
DEqMS,v2_median,post,0.854,0.823,0.689,0.993,10.9,0.1,
prolfqua,v2_median,post,0.892,0.794,0.788,0.982,934.4,2.6,
MSstats+,v2_vsn,post,,,,,,,see v2_median
MSstats,v2_vsn,post,,,,,,,see v2_median
limpa,v2_vsn,post,,,,,30.1,0.2,
MaxLFQ + limma,v2_vsn,post,0.84,0.824,0.675,0.993,5.1,0,
msqrob2,v2_vsn,post,0.882,0.862,0.75,1,2331.2,1.8,
DEqMS,v2_vsn,post,0.854,0.733,0.708,0.974,11.9,0.1,
prolfqua,v2_vsn,post,0.849,0.807,0.722,0.994,38,2.9,
MSstats+,v3_quantile,post,,,,,,,fail
MSstats,v3_quantile,post,,,,,,,fail
limpa,v3_quantile,post,0.717,0.916,0.278,0.983,12.8,494.2,
MaxLFQ + limma,v3_quantile,post,0.91,0.785,0.731,0.987,5.9,0.1,
msqrob2,v3_quantile,post,0.873,0.889,0.608,0.985,1605.3,2,
DEqMS,v3_quantile,post,0.882,0.716,0.759,0.994,10.1,0.1,
prolfqua,v3_quantile,post,0.868,0.893,0.604,0.992,40.2,2.9,
MSstats+,V1_log2,pre,0.019,0.133,0,,298.3,10.4,
MSstats,V1_log2,pre,0.009,0.095,0,,98.6,10.4,
limpa,V1_log2,pre,0.005,0.2,0,,9.7,359.4,
MaxLFQ + limma,V1_log2,pre,0.005,0.062,0,,4.9,0,
msqrob2,V1_log2,pre,0.024,0.083,0,,1965.4,1.8,
DEqMS,V1_log2,pre,0,0,0,,9.5,0.1,
prolfqua,V1_log2,pre,0.009,0.043,0,,37.9,2.9,
MSstats+,v2_median,pre,0.028,0.136,0,,1356.6,10.3,
MSstats,v2_median,pre,0.014,0.158,0,,114.2,11,
limpa,v2_median,pre,0.024,0.135,0,,10,435.9,
MaxLFQ + limma,v2_median,pre,0.024,0.1,0,,4.6,0,
msqrob2,v2_median,pre,0.019,0.063,0,,4822.4,1.8,
DEqMS,v2_median,pre,0.028,0.13,0,,11.2,0.1,
prolfqua,v2_median,pre,0.009,0.038,0,,39.1,2.9,
MSstats+,v2_vsn,pre,,,,,,,see v2_median
MSstats,v2_vsn,pre,,,,,,,see v2_median
limpa,v2_vsn,pre,,,,,43.2,0.2,
MaxLFQ + limma,v2_vsn,pre,0.033,0.121,0,,6.3,0,
msqrob2,v2_vsn,pre,0.028,0.162,0,,1558,1.8,
DEqMS,v2_vsn,pre,0.038,0.108,0,,12.6,0.1,
prolfqua,v2_vsn,pre,0.005,0.023,0,,37.6,3,
MSstats+,v3_quantile,pre,,,,,,,fail
MSstats,v3_quantile,pre,,,,,,,fail
limpa,v3_quantile,pre,0.009,0.125,0,,10.8,422.9,
MaxLFQ + limma,v3_quantile,pre,0.024,0.091,0,,4,0,
msqrob2,v3_quantile,pre,0.014,0.052,0,,1445.4,1.8,
DEqMS,v3_quantile,pre,0.033,0.09,0,,10.8,0.1,
prolfqua,v3_quantile,pre,0.014,0.061,0,,39.6,2.9,
