R.FileName,Condition,BioReplicate,Order,Label
20250123_Tulum_NeatCSF-DD_Seq1,Condition2,33,1,Good
20250123_Tulum_NeatCSF-DD_Seq2,Condition2,39,2,Good
20250123_Tulum_1to2CSF-DD_Seq3,Condition1,13,3,Good
20250123_Tulum_1to2CSF-DD_Seq4,Condition2,16,4,Good
20250123_Tulum_NeatCSF-DD_Seq5,Condition1,45,5,Good
20250123_Tulum_1to2CSF-DD_Seq7,Condition1,17,7,Good
20250123_Tulum_NeatCSF-DD_Seq10,Condition2,34,10,Good
20250123_Tulum_NeatCSF-DD_Seq11,Condition1,35,11,Good
20250123_Tulum_1to2CSF-DD_Seq12,Condition2,3,12,Good
20250123_Tulum_NeatCSF-DD_Seq15,Condition1,36,15,Good
20250123_Tulum_1to4CSF-DD_Seq31,Condition1,21,31,Bad
20250123_Tulum_1to8CSF-DD_Seq33,Condition1,24,33,Bad
20250123_Tulum_1to4CSF-DD_Seq34,Condition2,22,34,Bad
20250123_Tulum_1to16CSF-DD_Seq35,Condition1,1,35,Bad
20250123_Tulum_1to8CSF-DD_Seq36,Condition2,25,36,Bad
20250123_Tulum_1to16CSF-DD_Seq38,Condition2,2,38,Bad
