pair_id	PG_high	PG_low	n_precursors	n_peptides_hi	n_peptides_lo	n_precursors_used	n_peptides_used	expected_log2fc	dropped_precursors	dropped_peptides
0	Q9Y2C2	Q9NWV4	3	3	3	3	3	1.6000240815908673		
1	Q15465	Q6N022	7	7	7	7	7	1.5999642854791984		
2	P08246	P08621	2	2	2	2	2	1.6000497491418777		
3	P84157	Q8N149	5	5	5	5	5	1.6000588209437794		
4	Q08945	O95025	2	2	2	2	2	1.6000676869893535		
5	Q13232	P23381	5	5	5	5	5	1.5998767145919537		
6	Q9UGN4	Q96DG6	2	2	2	2	2	1.5998632080188662		
7	P36897	Q969Z0	2	2	2	2	2	1.5998467302473705		
8	Q96BY9	Q07960	2	2	2	2	2	1.6001735637973509		
9	P15586	Q16853	14	13	13	14	13	1.599814840916122		
10	P26639	Q96QE2	2	2	2	2	2	1.5998012252760079		
11	O00244	P61313	5	4	4	5	4	1.6002063070919386		
12	P00995	O60306	2	2	2	2	2	1.6002295340573363		
13	Q8IX05	P22223	4	4	4	4	4	1.5997511575199241		
14	Q9Y6Y9	Q9H3U7	3	3	3	3	3	1.5997124723777336		
15	P07478	Q16352	2	2	2	2	2	1.5996894997724174		
16	Q8N6Q3	P01185	2	2	2	2	2	1.6003387795675144		
17	A0A0B4J1U3	Q9UN67;Q9Y5E1	2	2	2	2	2	1.5996606514680716		
18	Q15847	P55001	4	3	3	4	3	1.6004418881867464		
19	A0A0B4J2B8	Q6ZN44	3	3	3	3	3	1.6004925215721526		
20	P06493	Q15165	4	3	3	4	3	1.5994688140491395		
21	Q7RTP6	Q5D862	2	2	2	2	2	1.5994627535387025		
22	O43240	O14980	3	3	3	3	3	1.6005826692859029		
23	O43491	P02585	2	2	2	2	2	1.60064317298631		
24	P14415	P50991	3	3	3	3	3	1.6006491144795358		
25	P25774	P06753	13	12	12	13	12	1.599284410447896		
26	Q86Y37	P09496	2	2	2	2	2	1.600769588764234		
27	P14174	P21453	3	2	2	3	2	1.599208771621286		
28	Q7L1I2	O95292	2	2	2	2	2	1.600799437538054		
29	P30153	P37235	2	2	2	2	2	1.5991833389479906		
30	P01282	Q9H4G4	4	4	4	4	4	1.6008272310436586		
31	P68431;P84243;Q16695;Q71DI3	P60842;Q14240	2	2	2	2	2	1.6008352045695897		
32	Q9UBV2	Q7Z794	4	4	4	4	4	1.5991422560801274		
33	Q92973	Q8NCM8	2	2	2	2	2	1.6009225249060872		
34	Q9HD45	P07738	5	5	5	5	5	1.6009391444345695		
35	A0M8Q6	Q5JS37	4	4	4	4	4	1.5990497665970063		
36	P54725	P32969	2	2	2	2	2	1.6009979214585934		
37	Q9BXS4	P62195	2	2	2	2	2	1.6010118692826119		
38	Q86VZ4	Q15293	15	14	14	15	14	1.6010142296791106		
39	Q9BT88	P78357	2	2	2	2	2	1.601045462081891		
40	P16284	Q8IWX8	2	2	2	2	2	1.6011276846370448		
41	A0A075B6R9;A0A0C4DH68	Q9NU53	4	4	4	4	4	1.5987559655626002		
42	P20382	P20036	3	3	3	3	3	1.6013211965452827		
43	Q16143	Q8IYR6	6	6	6	6	6	1.5986684097455361		
44	O15335	P15509	9	9	9	9	9	1.601440744123706		
45	Q8IVN8	Q15149	5	5	5	5	5	1.6014689893672278		
46	Q9UHA4	Q8WVF2	2	2	2	2	2	1.5985292912493594		
47	O00292	Q8IUL8	4	4	4	4	4	1.598508230026861		
48	Q13555	P27348	5	5	5	5	5	1.601497211435544		
49	O75439	O75394	2	2	2	2	2	1.6014985234312364		
50	Q9NS71	P06213	2	2	2	2	2	1.6015295541410293		
51	P07585	Q9Y696	15	12	12	15	12	1.5984505353550578		
52	P60953	P28838	3	3	3	3	3	1.6016058495377643		
53	A0A075B7B8	P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	5	4	4	5	4	1.6016814957438754		
54	O75636	P14324	7	7	7	7	7	1.5983006417274037		
55	Q9NPG1	Q10713	2	2	2	2	2	1.598291735801836		
56	P62995	O43169	2	2	2	2	2	1.6017214265138158		
57	Q16819	P20929	2	2	2	2	2	1.5982736182618567		
58	P69891;P69892	Q9BWV1	9	8	8	9	8	1.5982644610437946		
59	P09471	O00182	2	2	2	2	2	1.598213600833792		
60	Q8NHJ6	P14778	3	3	3	3	3	1.5981958671406495		
61	P29972	Q2TBF2	2	2	2	2	2	1.5981907667698456		
62	P55008	P30711	3	3	3	3	3	1.5981279639013675		
63	P06310	O43323	4	4	4	4	4	1.5980948766679557		
64	Q9NQ76	Q15393	2	2	2	2	2	1.598007211406828		
65	P10720	Q93070	2	2	2	2	2	1.6020035890405673		
66	Q8NHP8	P21399	7	7	7	7	7	1.597957654268673		
67	P61960	P08236	4	4	4	4	4	1.5978961808991752		
68	Q7L985	O60469	3	3	3	3	3	1.6021503867199445		
69	P20962	P31943	2	2	2	2	2	1.5978193882480163		
70	O75493	Q96JB1	4	4	4	4	4	1.6024079736289822		
71	Q16775	P26641	7	7	7	7	7	1.6024479573610293		
72	O75093	Q5UCC4	8	6	6	8	6	1.6025111282991658		
73	P47755	P61247	2	2	2	2	2	1.6025683169488127		
74	Q9P1F3	P27635	2	2	2	2	2	1.597333387495425		
75	Q9NQS3	Q9H8Y8	2	2	2	2	2	1.6027211045171903		
76	O75347	Q9Y266	7	7	7	7	7	1.6027509004048692		
77	Q14213	P05019	3	3	3	3	3	1.5971299274439348		
78	P19438	P61812	8	8	8	8	8	1.6029249774724148		
79	P49862	P08519	9	9	9	9	9	1.5970405857599772		
80	P30273	Q9NQX4	2	2	2	2	2	1.5970097747794263		
81	A0A075B7D8	Q9BT09	5	4	4	5	4	1.5970096317884215		
82	Q12913	Q9H251	12	12	12	12	12	1.6029918869346433		
83	Q99536	P04843	2	2	2	2	2	1.6030050311552095		
84	P04430	P52797	5	3	3	5	3	1.596931139675533		
85	Q9UF11	O14960	4	4	4	4	4	1.6031474888655435		
86	Q15848	P14854	2	2	2	2	2	1.6032229378045963		
87	Q9HD89	Q8TB96	2	2	2	2	2	1.596734610313093		
88	P22090;P62701	Q9ULC0	2	2	2	2	2	1.5967108931740963		
89	Q96RP7	P14780	5	5	5	5	5	1.5966410090660403		
90	Q9NWD8	Q6P4A8	2	2	2	2	2	1.6034467550793776		
91	Q9BUJ0	O00299	8	7	7	8	7	1.5965030660104222		
92	Q8N3Z0	Q15643	2	2	2	2	2	1.5965005689640535		
93	Q07021	Q8TDY2	2	2	2	2	2	1.6035499290168742		
94	Q9GZP1	Q6UX15	2	2	2	2	2	1.6037256572238245		
95	P40818	Q9Y6D5;Q9Y6D6	2	2	2	2	2	1.5962521876883118		
96	Q13361	A6NKN8	2	2	2	2	2	1.6037822290434747		
97	P05451	P09668	5	4	4	5	4	1.5961505122935007		
98	P21554	Q15198	3	3	3	3	3	1.6038687807725287		
99	Q9P0L0	P01903	8	6	6	8	6	1.6038777679235645		
100	Q9NWF9	O94973	2	2	2	2	2	1.5961061346714152		
101	P15153	P46109	4	4	4	4	4	1.6040070070131085		
102	Q13356	Q99584	2	2	2	2	2	1.6040106778479508		
103	P06858	O75339	4	4	4	4	4	1.5959676509242469		
104	Q15819	P25686	2	2	2	2	2	1.6042528030997634		
105	Q8NBI3	O60664	5	5	5	5	5	1.6042784620409867		
106	P59998	Q9P035	3	3	3	3	3	1.6042928973920603		
107	Q16663	Q96A32	2	2	2	2	2	1.6043069913686572		
