PG.ProteinGroups	role	pair_id	partner_PG	expected_log2fc	n_precursors_used	n_peptides_used
A0A075B6R9;A0A0C4DH68	down	41	Q9NU53	-1.5987559655626002	4	4
A0A075B7B8	down	53	P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	-1.6016814957438754	5	4
A0A075B7D8	down	81	Q9BT09	-1.5970096317884215	5	4
A0A0B4J1U3	down	17	Q9UN67;Q9Y5E1	-1.5996606514680716	2	2
A0A0B4J2B8	down	19	Q6ZN44	-1.6004925215721526	3	3
A0M8Q6	down	35	Q5JS37	-1.5990497665970063	4	4
A6NKN8	up	96	Q13361	1.6037822290434747	2	2
O00182	up	59	P09471	1.598213600833792	2	2
O00244	down	11	P61313	-1.6002063070919386	5	4
O00292	down	47	Q8IUL8	-1.598508230026861	4	4
O00299	up	91	Q9BUJ0	1.5965030660104222	8	7
O14960	up	85	Q9UF11	1.6031474888655435	4	4
O14980	up	22	O43240	1.6005826692859029	3	3
O15335	down	44	P15509	-1.601440744123706	9	9
O43169	up	56	P62995	1.6017214265138158	2	2
O43240	down	22	O14980	-1.6005826692859029	3	3
O43323	up	63	P06310	1.5980948766679557	4	4
O43491	down	23	P02585	-1.60064317298631	2	2
O60306	up	12	P00995	1.6002295340573363	2	2
O60469	up	68	Q7L985	1.6021503867199445	3	3
O60664	up	105	Q8NBI3	1.6042784620409867	5	5
O75093	down	72	Q5UCC4	-1.6025111282991658	8	6
O75339	up	103	P06858	1.5959676509242469	4	4
O75347	down	76	Q9Y266	-1.6027509004048692	7	7
O75394	up	49	O75439	1.6014985234312364	2	2
O75439	down	49	O75394	-1.6014985234312364	2	2
O75493	down	70	Q96JB1	-1.6024079736289822	4	4
O75636	down	54	P14324	-1.5983006417274037	7	7
O94973	up	100	Q9NWF9	1.5961061346714152	2	2
O95025	up	4	Q08945	1.6000676869893535	2	2
O95292	up	28	Q7L1I2	1.600799437538054	2	2
P00995	down	12	O60306	-1.6002295340573363	2	2
P01185	up	16	Q8N6Q3	1.6003387795675144	2	2
P01282	down	30	Q9H4G4	-1.6008272310436586	4	4
P01903	up	99	Q9P0L0	1.6038777679235645	8	6
P02585	up	23	O43491	1.60064317298631	2	2
P02818	down	111	P08833	-1.6049376116167675	3	3
P04430	down	84	P52797	-1.596931139675533	5	3
P04843	up	83	Q99536	1.6030050311552095	2	2
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	up	53	A0A075B7B8	1.6016814957438754	5	4
P05019	up	77	Q14213	1.5971299274439348	3	3
P05062	up	110	Q15942	1.604864942283613	2	2
P05451	down	97	P09668	-1.5961505122935007	5	4
