Method,Variant,SwapState,TPR,PPV,preprocess_seconds,model_seconds
MSstats+,V1_log2,post,0.863,0.883,258.7,9.1
MSstats,V1_log2,post,0.792,0.903,86.3,10.3
limpa,V1_log2,post,0.821,0.961,9.4,308.9
MaxLFQ + limma,V1_log2,post,0.896,0.936,5,0
msqrob2,V1_log2,post,0.925,0.778,1394,1.8
DEqMS,V1_log2,post,0.844,0.891,9.4,0.1
prolfqua,V1_log2,post,0.901,0.789,35.2,2.9
MSstats+,v2_vsn,post,0.896,0.804,257,9.1
MSstats,v2_vsn,post,0.835,0.903,86,10.3
limpa,v2_vsn,post,,,20.6,0.2
MaxLFQ + limma,v2_vsn,post,0.84,0.777,5.1,0
msqrob2,v2_vsn,post,0.896,0.815,1409.1,1.8
DEqMS,v2_vsn,post,0.868,0.684,10.7,0.1
prolfqua,v2_vsn,post,0.835,0.741,35.3,2.9
MSstats+,v3_quantile,post,,,,
MSstats,v3_quantile,post,,,,
limpa,v3_quantile,post,0.835,0.885,10.1,365.2
MaxLFQ + limma,v3_quantile,post,0.92,0.756,4.1,0
msqrob2,v3_quantile,post,0.901,0.868,1429.2,1.9
DEqMS,v3_quantile,post,0.887,0.694,9.8,0.1
prolfqua,v3_quantile,post,0.873,0.902,35.3,3.1
MSstats+,V1_log2,pre,0.024,0.172,256.4,9.1
MSstats,V1_log2,pre,0.014,0.143,85.9,10.5
limpa,V1_log2,pre,0.005,0.125,8.5,310.7
MaxLFQ + limma,V1_log2,pre,0.005,0.071,4.9,0
msqrob2,V1_log2,pre,0.028,0.097,1395,1.8
DEqMS,V1_log2,pre,0,0,8.2,0.1
prolfqua,V1_log2,pre,0.014,0.055,35,3.1
MSstats+,v2_vsn,pre,0.033,0.143,258.6,9
MSstats,v2_vsn,pre,0.014,0.136,86,10.4
limpa,v2_vsn,pre,,,26.3,0.2
MaxLFQ + limma,v2_vsn,pre,0.028,0.1,5.2,0
msqrob2,v2_vsn,pre,0.014,0.067,1419,1.7
DEqMS,v2_vsn,pre,0.033,0.077,10.4,0.1
prolfqua,v2_vsn,pre,0.019,0.059,35.5,2.9
MSstats+,v3_quantile,pre,0.038,0.211,259,9.3
MSstats,v3_quantile,pre,0.014,0.13,87.6,10.3
limpa,v3_quantile,pre,0.005,0.042,10.2,364.6
MaxLFQ + limma,v3_quantile,pre,0.024,0.071,4.1,0
msqrob2,v3_quantile,pre,0.009,0.065,1449.8,1.9
DEqMS,v3_quantile,pre,0.033,0.079,9.8,0.1
prolfqua,v3_quantile,pre,0.005,0.048,35.2,3.1
