Method,Variant,SwapState,TPR_pval,PPV_pval,TPR_FDR,PPV_FDR,preprocess_seconds,model_seconds,Note
MSstats+,V1_log2,post,0.387,0.796,0,,107.6,8.5,
MSstats,V1_log2,post,0.231,0.721,0,,42.6,8.8,
limpa,V1_log2,post,0.203,1,0,,4.2,104.3,
MaxLFQ + limma,V1_log2,post,0.415,0.926,0.057,1,1.7,0,
msqrob2,V1_log2,post,0.741,0.724,0.448,0.969,552.5,1.7,
DEqMS,V1_log2,post,0.321,0.883,0,,4.4,0.1,
prolfqua,V1_log2,post,0.684,0.829,0.354,0.987,24.5,3.1,
MSstats+,v2_median,post,0.703,0.797,0.142,1,120,8.7,
MSstats,v2_median,post,0.58,0.788,0.024,1,42.2,8.6,
limpa,v2_median,post,0.561,0.815,0.038,1,4.2,131.1,
MaxLFQ + limma,v2_median,post,0.703,0.706,0.415,0.967,1.7,0,
msqrob2,v2_median,post,0.745,0.702,0.472,0.98,544.6,1.7,
DEqMS,v2_median,post,0.571,0.665,0.288,0.953,4.1,0.1,
prolfqua,v2_median,post,0.693,0.826,0.387,0.988,25.5,3,
MSstats+,v2_vsn,post,,,,,,,see v2_median
MSstats,v2_vsn,post,,,,,,,see v2_median
limpa,v2_vsn,post,,,,,11.1,0.2,
MaxLFQ + limma,v2_vsn,post,0.627,0.787,0.335,0.973,2.1,0,
msqrob2,v2_vsn,post,0.637,0.718,0.42,0.978,568.4,1.7,
DEqMS,v2_vsn,post,0.613,0.663,0.335,0.973,5.5,0.1,
prolfqua,v2_vsn,post,0.608,0.787,0.325,0.972,25.4,3.2,
MSstats+,v3_quantile,post,,,,,,,fail
MSstats,v3_quantile,post,,,,,,,fail
limpa,v3_quantile,post,0.495,0.868,0,,5.2,144.8,
MaxLFQ + limma,v3_quantile,post,0.675,0.681,0.368,0.975,1.9,0,
msqrob2,v3_quantile,post,0.708,0.658,0.434,0.979,595.3,1.8,
DEqMS,v3_quantile,post,0.642,0.654,0.335,0.959,4.8,0.1,
prolfqua,v3_quantile,post,0.703,0.801,0.387,0.976,30.9,3.4,
MSstats+,V1_log2,pre,0.009,0.083,0,,111.2,8.8,
MSstats,V1_log2,pre,0.005,0.05,0,,42.7,8.8,
limpa,V1_log2,pre,0,,0,,4.5,108.4,
MaxLFQ + limma,V1_log2,pre,0,0,0,,2,0,
msqrob2,V1_log2,pre,0.038,0.118,0,,553.7,1.9,
DEqMS,V1_log2,pre,0,0,0,,4.4,0.1,
prolfqua,V1_log2,pre,0.009,0.056,0,,26.1,3.2,
MSstats+,v2_median,pre,0.019,0.098,0,,109.6,8.8,
MSstats,v2_median,pre,0.019,0.108,0,,42.6,8.7,
limpa,v2_median,pre,0.024,0.156,0,,4.7,137.7,
MaxLFQ + limma,v2_median,pre,0.028,0.087,0,,2.3,0,
msqrob2,v2_median,pre,0.047,0.132,0,,571.9,1.8,
DEqMS,v2_median,pre,0.024,0.075,0,,4.6,0.1,
prolfqua,v2_median,pre,0.009,0.054,0,,24.7,3.2,
MSstats+,v2_vsn,pre,,,,,,,see v2_median
MSstats,v2_vsn,pre,,,,,,,see v2_median
limpa,v2_vsn,pre,,,,,11.2,0.2,
MaxLFQ + limma,v2_vsn,pre,0.024,0.132,0,,2.3,0,
msqrob2,v2_vsn,pre,0.028,0.098,0,0,592.8,1.9,
DEqMS,v2_vsn,pre,0.038,0.107,0,,6,0.1,
prolfqua,v2_vsn,pre,0.005,0.027,0,,28.8,3.5,
MSstats+,v3_quantile,pre,,,,,,,fail
MSstats,v3_quantile,pre,,,,,,,fail
limpa,v3_quantile,pre,0.009,0.111,0,,5.1,142.8,
MaxLFQ + limma,v3_quantile,pre,0.028,0.083,0,,1.9,0,
msqrob2,v3_quantile,pre,0.052,0.121,0,,587.6,1.8,
DEqMS,v3_quantile,pre,0.042,0.118,0,,4.8,0.1,
prolfqua,v3_quantile,pre,0.005,0.026,0,,27.4,3.3,
