R.FileName,Condition,BioReplicate,Order
20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_01,E10H50Y40,16,1
20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_02,E10H50Y40,17,2
20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_01,E5H50Y45,14,3
20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_02,E5H50Y45,13,4
20230324_OLEP08_200ng_30min_E5H50Y45_180K_2Th3p5ms_03,E5H50Y45,10,5
20230324_OLEP08_200ng_30min_E45H50Y5_180K_2Th3p5ms_03,E45H50Y5,1,6
20230324_OLEP08_200ng_30min_E10H50Y40_180K_2Th3p5ms_03,E10H50Y40,18,7
20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_01,E20H50Y30,11,8
20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_02,E20H50Y30,15,9
20230324_OLEP08_200ng_30min_E20H50Y30_180K_2Th3p5ms_03,E20H50Y30,12,10
20230324_OLEP08_200ng_30min_E30H50Y20_180K_2Th3p5ms_01,E30H50Y20,9,11
20230324_OLEP08_200ng_30min_E30H50Y20_180K_2Th3p5ms_02,E30H50Y20,8,12
20230324_OLEP08_200ng_30min_E30H50Y20_180K_2Th3p5ms_03,E30H50Y20,7,13
20230324_OLEP08_200ng_30min_E40H50Y10_180K_2Th3p5ms_01,E40H50Y10,6,14
20230324_OLEP08_200ng_30min_E40H50Y10_180K_2Th3p5ms_02,E40H50Y10,5,15
20230324_OLEP08_200ng_30min_E40H50Y10_180K_2Th3p5ms_03,E40H50Y10,4,16
20230324_OLEP08_200ng_30min_E45H50Y5_180K_2Th3p5ms_01,E45H50Y5,3,17
20230324_OLEP08_200ng_30min_E45H50Y5_180K_2Th3p5ms_02,E45H50Y5,2,18
