From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A075B6W5	A0A075B6W5	reviewed	TVA23_HUMAN	T cell receptor alpha variable 23/delta variable 6	TRAV23DV6	Homo sapiens (Human)	121
A0A0A0MS14	A0A0A0MS14	reviewed	HV145_HUMAN	Immunoglobulin heavy variable 1-45	IGHV1-45	Homo sapiens (Human)	117
A0A0A0MTA1	A0A0A0MTA1	unreviewed	A0A0A0MTA1_HUMAN	Immunoglobulin lambda joining 4 (non-functional)	IGLJ4	Homo sapiens (Human)	11
A0A0B4J2F0	A0A0B4J2F0	reviewed	PIOS1_HUMAN	Protein PIGBOS1 (PIGB opposite strand protein 1)	PIGBOS1	Homo sapiens (Human)	54
A0A0U1RRE5	A0A0U1RRE5	reviewed	NBDY_HUMAN	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	NBDY LINC01420	Homo sapiens (Human)	68
A0A0U1RRL7	A0A0U1RRL7	reviewed	MMPOS_HUMAN	Protein MMP24OS (MMP24 opposite strand)	MMP24OS MMP24-AS1	Homo sapiens (Human)	71
A0A1B0GUY1	A0A1B0GUY1	reviewed	MRCOL_HUMAN	MARCO-like protein	MARCOL	Homo sapiens (Human)	285
A0A1W2PR95	A0A1W2PR95	reviewed	IGB1C_HUMAN	Immunoglobulin-binding protein 1 family member C	IGBP1C IGBP1P2	Homo sapiens (Human)	340
A0A1W2PRN6	A0A1W2PRN6	unreviewed	A0A1W2PRN6_HUMAN	HCG1807616 (Long intergenic non-protein coding RNA 2218)	LINC02218 hCG_1807616	Homo sapiens (Human)	198
A0A2R8YE69	A0A2R8YE69	unreviewed	A0A2R8YE69_HUMAN	Uncharacterized protein		Homo sapiens (Human)	777
P0CG41	P0CG41	reviewed	CTGE8_HUMAN	cTAGE family member 8 (Protein cTAGE-8)	CTAGE8	Homo sapiens (Human)	777
Q8IX94	Q8IX94	reviewed	CTGE4_HUMAN	cTAGE family member 4 (Protein cTAGE-4)	CTAGE4	Homo sapiens (Human)	777
A0A2R8YFR7	A0A2R8YFR7	unreviewed	A0A2R8YFR7_HUMAN	DH domain-containing protein	LOC107987545	Homo sapiens (Human)	1487
A0A3B3IU46	A0A3B3IU46	reviewed	RMACL_HUMAN	RNA guanine-N7 methyltransferase-activating subunit-like protein	RAMACL	Homo sapiens (Human)	118
A0A494C071	A0A494C071	reviewed	PWWP4_HUMAN	Putative PWWP domain-containing DNA repair factor 4	PWWP4	Homo sapiens (Human)	2061
